name,type,start_time,duration,"index","red","green","blue"
"Addressable LEDs (Async)","pixel",38.3801192,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3801492,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3801792,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3802092,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3802392,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3802692,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3802992,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3806386,2.99375e-05,0x0000000000000000,0x00000000000000FF,0x00000000000000FF,0x00000000000000FF
"Addressable LEDs (Async)","pixel",38.3806686,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3806986,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3807286,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3807586,3e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3807887,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3808187,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",38.3808487,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",40.3825506,3e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x00000000000000FF
"Addressable LEDs (Async)","pixel",40.3825807,2.99375e-05,0x0000000000000001,0x0000000000000070,0x0000000000000057,0x000000000000007D
"Addressable LEDs (Async)","pixel",40.3826107,2.99375e-05,0x0000000000000002,0x00000000000000BD,0x0000000000000090,0x0000000000000000
"Addressable LEDs (Async)","pixel",40.3826407,2.99375e-05,0x0000000000000003,0x00000000000000EF,0x00000000000000EC,0x0000000000000000
"Addressable LEDs (Async)","pixel",40.3826707,2.99375e-05,0x0000000000000004,0x000000000000005F,0x00000000000000B4,0x0000000000000000
"Addressable LEDs (Async)","pixel",40.3827007,2.99375e-05,0x0000000000000005,0x000000000000001E,0x0000000000000062,0x0000000000000000
"Addressable LEDs (Async)","pixel",40.3827307,2.99375e-05,0x0000000000000006,0x00000000000000E8,0x00000000000000D6,0x0000000000000000
"Addressable LEDs (Async)","pixel",40.3827607,2.9875e-05,0x0000000000000007,0x0000000000000035,0x00000000000000C5,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3833507,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3833807,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3834107,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3834407,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3834707,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3835007,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3835307,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",43.3835607,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
